  Run_nr	    Time	   Alpha	    Beta	Delta_Pb	   P_bar	       T	      B1	      B2	      B3	      B4	      B5	      B6	       X	       Y	       Z	     Rho	       Q	       V	      Re	      Fx	      Fy	      Fz	      Mx	      My	      Mz	      Cl	      Cd	      Cm	  Extra1	  Extra2	  Extra3	  Extra4	  Extra5	  Extra6	  Q_w.r.	FlapDefl	FlapXDis	FlapYDis	    P001	    P002	    P003	    P004	    P005	    P006	    P007	    P008	    P009	    P010	    P011	    P012	    P013	    P014	    P015	    P016	    P017	    P018	    P019	    P020	    P021	    P022	    P023	    P024	    P025	    P026	    P027	    P028	    P029	    P030	    P031	    P032	    P033	    P034	    P035	    P036	    P037	    P038	    P039	    P040	    P041	    P042	    P043	    P044	    P045	    P046	    P047	    P048	    P049	    P050	    P051	    P052	    P053	    P054	    P055	    P056	    P057	    P058	    P059	    P060	    P061	    P062	    P063	    P064	    P065	    P066	    P067	    P068	    P069	    P070	    P071	    P072	    P073	    P074	    P075	    P076	    P077	    P078	    P079	    P080	    P081	    P082	    P083	    P084	    P085	    P086	    P087	    P088	    P089	    P090	    P091	    P092	    P093	    P094	    P095	    P096	    P097	    P098	    P099	    P100	    P101	    P102	    P103	    P104	    P105	    P106	    P107	    P108	    P109	    P110	    P111	    P112	    P113	    P114	    P115	    P116	    P117	    P118	    P119	    P120	    P121	    P122	    P123	    P124	    P125	    P126	    P127	    P128	    P129	    P130	    P131	    P132	    P133	    P134	    P135	    P136	    P137	    P138	    P139	    P140	    P141	    P142	    P143	    P144	    P145	    P146	    P147	    P148	    P149	    P150	    P151	    P152	    P153	    P154	    P155	    P156	    P157	    P158	    P159	    P160	    P161	    P162	    P163	    P164	    P165	    P166	    P167	    P168	    P169	    P170	    P171	    P172	    P173	    P174	    P175	    P176	    P177	    P178	    P179	    P180	    P181	    P182	    P183	    P184	    P185	    P186	    P187	    P188	    P189	    P190	    P191	    P192	    P193	    P194	    P195	    P196	    P197	    P198	    P199	    P200	    P201	    P202	    P203	    P204	    P205	    P206	    P207	    P208	    P209	    P210	    P211	    P212	    P213	    P214	    P215	    P216	    P217	    P218	    P219	    P220	    P221	    P222	    P223	    P224	    P225	    P226	    P227	    P228	    P229	    P230	    P231	    P232	    P233	    P234	    P235	    P236	    P237	    P238	    P239	    P240	    P241	    P242	    P243	    P244	    P245	    P246	    P247	    P248	    P249	    P250	    P251	    P252	    P253	    P254	    P255
       /	   H:M:S	 degrees	 degrees	      Pa	     hPa	 degr._C	   steps	   steps	   steps	   steps	   steps	   steps	      mm	      mm	      mm	  kg/m^3	      Pa	     m/s	       /	       N	       N	       N	      Nm	      Nm	      Nm	       /	       /	       /	       /	       /	       /	       /	       /	       /	      Pa	 degrees	      mm	      mm	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa
     122	 11:05:20	  -1.996	   0.000	   -0.38	  994.16	   13.14	      -2	      -3	       1	      -2	       2	       0	   0.000	   0.000	   0.000	   1.210	    -0.4	     NaN	9223372036854775807	   -0.02	   -0.04	   -0.01	   -0.09	    0.04	   -0.00	   0.000	 0.00000	 0.00000	  -0.000	   0.000	   0.000	   0.000	  16.832	   0.000	   -0.37	    0.00	    0.00	    0.00	    0.97	    1.27	    0.11	   -0.22	   -1.08	    2.08	    2.05	    1.08	   -0.32	   -0.54	    0.74	   -1.05	   -0.31	    0.42	   -0.95	   -0.21	    2.43	    0.53	   -3.11	   -2.60	   -1.38	    0.53	   -0.57	   -2.20	   -0.11	    0.62	   -0.42	   -1.39	   -1.30	   -2.14	   -2.29	   -0.22	    0.25	    0.38	    0.27	    0.40	    0.24	    0.28	    0.26	    0.25	    0.12	    0.29	    0.27	    0.23	   -0.01	    0.34	    0.48	    0.19	    0.11	    0.26	    0.04	    0.27	    0.20	   -0.01	    0.30	    0.16	    0.28	    0.30	    0.35	    0.21	    0.26	    0.22	    0.25	    0.29	    2.00	    2.33	   -0.21	   -0.17	   -0.91	    2.06	   -0.48	   -1.82	   -1.41	    0.16	   -0.17	    2.51	    0.63	   -0.54	    0.80	    0.85	   -0.57	   -0.16	   -0.92	   -0.71	    0.89	    0.71	    0.47	   -1.15	   -1.27	    0.00	    0.38	    1.33	   -1.35	   -0.43	   -0.10	    0.48	    0.00	    0.22	   -0.01	    0.21	   -0.06	   -0.07	    0.13	    0.05	    0.00	    0.00	    0.32	   -0.89	   -0.05	   -0.10	   -0.17	   -0.43	   -0.28	    0.27	   -0.05	    0.14	   -0.03	   -0.06	   -0.11	   -0.06	    0.00	   -0.11	   -0.13	   -0.06	   -0.06	    0.00	   -0.07	    0.04	    0.30	   -0.26	    0.12	    0.04	    0.76	    0.00	    0.28	    0.06	   -0.08	    1.15	    0.06	    0.04	   -0.14	   -0.01	    0.74	    0.00	    0.22	    0.61	   -0.22	    1.01	   -0.05	   -0.08	    0.13	   -0.12	    0.08	    0.81	   -0.42	   -0.13	    0.14	    0.33	    0.19	    0.07	   -0.27	    0.01	    0.23	    0.05	   -0.11	    0.28	    0.10	    0.35	    0.26	   -0.10	   -0.36	    0.54	    0.27	    0.22	   -0.15	    0.09	   -0.26	   -0.01	    0.24	    0.08	   -0.42	   -0.30	    0.15	    0.13	   -0.18	   -0.34	   -0.13	   -0.07	    0.07	    0.12	   -0.03	   -0.16	   -0.13	   -0.25	    0.06	    0.04	   -0.19	   -0.20	   -0.09	    0.26	    0.05	    0.10	    0.03	    0.09	    0.16	    0.16	    0.04	   -0.05	    0.00	    0.07	    0.03	   -0.07	    0.06	   -0.14	   -0.09	    0.26	   -0.01	    0.12	    0.00	    0.04	    0.10	    0.20	   -0.00	   -0.16	    0.19	    0.37	    0.01	   -0.08	   -0.05	    0.10	    0.34	    0.06	   -0.11	   -0.03	    0.03	    0.09	    0.02	   -0.05	   -0.11	    0.12	    0.26	    0.11	   -0.05	   -0.01	   -0.22	    0.26	    0.19	   -0.03	   -0.24	   -0.10	    0.09	    0.20	    0.00	    0.00	    0.00
     123	 11:05:43	   1.996	   0.000	   -0.41	  994.21	   13.14	       4	       4	      -3	      -2	      16	      -3	   0.000	   0.000	   0.000	   1.210	    -0.4	     NaN	9223372036854775807	    0.03	    0.04	    0.11	    0.06	    0.17	    0.02	   0.000	 0.00000	 0.00000	  -0.000	   0.000	   0.000	   0.000	  16.780	   0.000	   -0.45	    0.00	    0.00	    0.00	    1.51	    1.37	    0.33	    0.00	   -1.30	    2.39	    2.38	    1.52	    0.32	    0.00	    0.53	   -1.16	   -0.10	    0.73	   -0.74	   -0.21	    2.43	   -0.11	   -2.80	   -2.71	   -1.17	    0.64	   -0.45	   -2.09	   -0.21	    0.10	   -0.41	   -1.28	   -1.30	   -1.82	   -1.97	   -0.32	    0.24	    0.29	    0.14	    0.32	    0.20	    0.18	    0.23	    0.21	    0.07	    0.28	    0.26	    0.21	   -0.03	    0.34	    0.48	    0.31	    0.09	    0.23	    0.08	    0.22	    0.17	   -0.03	    0.29	    0.12	    0.22	    0.25	    0.27	    0.10	    0.23	    0.21	    0.24	    0.28	    1.69	    2.44	   -0.77	   -0.51	   -1.28	    2.00	   -0.37	   -1.72	   -1.41	    0.37	   -0.39	    2.51	    0.48	   -0.70	    0.48	    0.27	   -1.09	   -0.32	   -1.19	   -1.04	    0.84	    0.49	    0.16	   -1.20	   -1.32	   -0.53	    0.22	    1.28	   -1.25	   -0.59	   -0.16	    0.16	   -0.04	    0.19	   -0.04	    0.14	   -0.13	   -0.16	    0.06	    0.03	   -0.05	   -0.01	    0.29	   -0.93	   -0.09	   -0.11	   -0.24	   -0.48	   -0.30	    0.16	   -0.02	    0.01	   -0.06	   -0.17	   -0.09	   -0.13	   -0.06	   -0.15	   -0.22	   -0.12	   -0.13	   -0.00	   -0.09	   -0.01	    0.22	   -0.37	    0.18	    0.03	    0.73	   -0.14	    0.28	    0.03	   -0.10	    1.20	   -0.04	   -0.03	   -0.23	   -0.06	    0.73	   -0.07	    0.18	    0.61	   -0.26	    1.02	   -0.03	   -0.13	    0.10	   -0.10	   -0.01	    0.70	   -0.42	   -0.19	    0.14	    0.24	    0.14	    0.01	   -0.34	    0.03	    0.23	    0.00	   -0.21	    0.19	    0.00	    0.28	    0.21	   -0.10	   -0.44	    0.51	    0.23	    0.26	   -0.17	    0.03	   -0.33	   -0.05	    0.17	    0.02	   -0.53	   -0.33	    0.08	   -0.03	   -0.24	   -0.39	   -0.14	   -0.11	    0.03	    0.00	   -0.11	   -0.20	   -0.08	   -0.19	    0.10	    0.07	   -0.19	   -0.20	   -0.09	    0.24	    0.05	    0.04	   -0.00	    0.03	    0.09	    0.10	   -0.02	   -0.12	   -0.03	    0.04	    0.05	   -0.09	   -0.03	   -0.14	   -0.11	    0.21	   -0.05	    0.06	   -0.03	    0.00	    0.07	    0.16	   -0.09	   -0.20	    0.12	    0.31	   -0.05	   -0.11	   -0.08	    0.02	    0.27	    0.03	   -0.19	   -0.11	   -0.02	    0.04	   -0.04	   -0.12	   -0.18	    0.07	    0.13	    0.03	   -0.13	   -0.10	   -0.25	    0.20	    0.14	   -0.12	   -0.26	   -0.15	    0.03	    0.14	    0.00	    0.00	    0.00
     124	 11:06:04	   6.000	   0.000	   -0.47	  994.19	   13.13	      11	      10	     -20	     -12	      94	      -5	   0.000	   0.000	   0.000	   1.210	    -0.6	     NaN	9223372036854775807	    0.10	    0.10	    0.32	    0.23	    1.11	    0.03	   0.000	 0.00000	 0.00000	  -0.000	   0.000	   0.000	   0.000	  16.732	   0.000	   -0.57	    0.00	    0.00	    0.00	    1.94	    0.32	    0.11	    0.00	   -0.76	    2.18	    2.05	    0.76	   -0.00	   -0.33	    1.06	   -0.53	    0.10	    0.10	   -0.95	   -0.64	    2.43	   -0.11	   -3.32	   -3.03	   -0.96	    0.53	   -0.57	   -2.09	   -0.32	   -0.42	   -0.42	   -1.60	   -1.41	   -2.14	   -1.66	   -0.54	    0.24	    0.30	    0.15	    0.31	    0.20	    0.17	    0.22	    0.23	    0.02	    0.24	    0.26	    0.12	   -0.08	    0.34	    0.42	    0.22	    0.16	    0.20	    0.11	    0.17	    0.14	   -0.07	    0.26	    0.05	    0.20	    0.23	    0.29	    0.12	    0.23	    0.19	    0.20	    0.29	    1.69	    2.17	   -0.47	   -0.22	   -1.07	    2.00	   -0.16	   -1.51	   -1.35	    0.06	    0.11	    2.30	    0.16	   -0.54	    0.37	    0.32	   -0.57	   -0.00	   -1.30	   -0.77	    1.05	    0.17	    0.11	   -0.93	   -1.69	   -0.32	   -0.27	    1.33	   -1.25	   -0.86	   -0.37	    0.16	   -0.08	    0.14	   -0.06	    0.14	   -0.11	   -0.17	    0.07	   -0.02	   -0.06	   -0.04	    0.26	   -0.92	   -0.11	   -0.19	   -0.25	   -0.48	   -0.34	    0.16	   -0.09	    0.03	   -0.10	   -0.20	   -0.13	   -0.14	   -0.07	   -0.15	   -0.24	   -0.12	   -0.20	   -0.02	   -0.15	    0.00	    0.26	   -0.37	    0.13	    0.01	    0.71	   -0.03	    0.22	    0.02	   -0.11	    1.24	   -0.01	   -0.06	   -0.23	   -0.08	    0.63	   -0.03	    0.22	    0.59	   -0.28	    1.06	   -0.09	   -0.11	    0.11	   -0.09	   -0.07	    0.66	   -0.46	   -0.20	    0.10	    0.24	    0.14	   -0.00	   -0.35	    0.04	    0.15	    0.02	   -0.25	    0.28	   -0.07	    0.26	    0.19	   -0.11	   -0.44	    0.46	    0.15	    0.20	   -0.26	    0.05	   -0.29	   -0.12	    0.15	    0.00	   -0.49	   -0.35	    0.06	    0.01	   -0.24	   -0.33	   -0.22	   -0.19	    0.04	    0.07	   -0.16	   -0.20	   -0.12	   -0.23	    0.08	    0.03	   -0.17	   -0.21	   -0.12	    0.21	    0.02	    0.11	    0.00	    0.07	    0.08	    0.13	   -0.05	   -0.08	   -0.04	    0.01	    0.01	   -0.12	   -0.01	   -0.14	   -0.17	    0.19	   -0.07	    0.09	   -0.02	   -0.01	    0.07	    0.17	   -0.08	   -0.17	    0.13	    0.30	   -0.04	   -0.14	   -0.07	   -0.02	    0.26	    0.03	   -0.16	   -0.12	   -0.06	    0.01	   -0.09	   -0.08	   -0.17	    0.08	    0.16	    0.04	   -0.13	   -0.09	   -0.28	    0.21	    0.12	   -0.11	   -0.29	   -0.16	    0.00	    0.14	    0.00	    0.00	    0.00
     125	 11:06:24	  10.000	   0.000	   -0.37	  994.17	   13.12	      19	      15	     -49	     -36	     231	      -6	   0.000	   0.000	   0.000	   1.210	    -0.4	     NaN	9223372036854775807	    0.18	    0.16	    0.42	    0.37	    2.80	    0.04	   0.000	 0.00000	 0.00000	  -0.000	   0.000	   0.000	   0.000	  16.686	   0.000	   -0.35	    0.00	    0.00	    0.00	    1.08	    1.27	    0.55	   -0.22	   -0.43	    2.08	    2.16	    0.76	   -0.53	   -0.76	    0.84	   -1.05	   -0.21	    0.52	   -0.53	   -0.43	    2.32	   -0.11	   -2.90	   -2.60	   -1.07	    0.32	   -0.34	   -2.40	   -0.21	    0.62	   -0.83	   -0.96	   -1.52	   -2.35	   -2.08	   -0.32	    0.28	    0.38	    0.28	    0.40	    0.26	    0.25	    0.35	    0.28	    0.11	    0.29	    0.31	    0.23	   -0.00	    0.38	    0.51	    0.44	    0.22	    0.27	    0.11	    0.25	    0.18	   -0.04	    0.33	    0.10	    0.24	    0.32	    0.30	    0.18	    0.26	    0.25	    0.29	    0.36	    1.64	    2.44	   -0.16	   -0.17	   -0.86	    2.43	   -0.32	   -1.30	   -1.08	    0.47	    0.44	    2.57	    0.63	   -0.43	    0.91	    0.64	   -0.47	    0.26	   -0.92	   -0.60	    1.31	    0.82	    0.58	   -0.93	   -1.06	   -0.32	    0.70	    1.44	   -0.73	   -0.38	   -0.16	    0.59	    0.00	    0.22	    0.00	    0.21	   -0.08	   -0.08	    0.09	    0.04	    0.01	    0.00	    0.30	   -0.87	   -0.03	   -0.13	   -0.21	   -0.40	   -0.29	    0.26	   -0.02	    0.07	   -0.01	   -0.05	   -0.05	   -0.10	    0.00	   -0.12	   -0.15	   -0.05	   -0.10	    0.05	   -0.09	    0.08	    0.30	   -0.32	    0.19	    0.02	    0.73	   -0.04	    0.25	    0.00	   -0.06	    1.24	    0.00	    0.00	   -0.17	   -0.01	    0.71	    0.02	    0.27	    0.62	   -0.23	    1.05	    0.02	   -0.11	    0.12	   -0.09	    0.02	    0.74	   -0.39	   -0.15	    0.15	    0.25	    0.19	    0.08	   -0.34	    0.04	    0.24	   -0.01	   -0.19	    0.29	    0.10	    0.28	    0.19	   -0.06	   -0.40	    0.50	    0.24	    0.34	   -0.09	    0.08	   -0.29	   -0.06	    0.18	    0.04	   -0.44	   -0.32	    0.10	    0.06	   -0.20	   -0.35	   -0.14	   -0.06	    0.08	    0.05	   -0.05	   -0.12	   -0.23	   -0.30	   -0.04	   -0.03	   -0.24	   -0.27	   -0.14	    0.24	    0.09	    0.16	    0.07	    0.12	    0.17	    0.20	    0.05	   -0.02	    0.06	    0.06	    0.13	   -0.04	    0.03	   -0.07	   -0.04	    0.29	    0.02	    0.15	    0.07	    0.10	    0.16	    0.25	    0.00	   -0.12	    0.19	    0.39	    0.02	   -0.05	    0.00	    0.12	    0.37	    0.08	   -0.11	   -0.03	    0.03	    0.13	    0.00	   -0.03	   -0.10	    0.11	    0.24	    0.11	   -0.02	   -0.02	   -0.14	    0.27	    0.22	   -0.03	   -0.21	   -0.08	    0.10	    0.20	    0.00	    0.00	    0.00
     126	 11:07:36	  10.000	   0.000	   58.25	  994.21	   12.86	     426	      23	     204	     196	     392	     -12	   0.000	   0.000	   0.000	   1.211	   136.0	    15.0	  168319	    3.92	    0.23	   34.23	    0.10	    0.96	    0.08	   0.000	 0.00000	 0.00000	  -0.000	   0.000	   0.000	   0.000	  16.161	   0.000	  136.00	    0.00	    0.00	    0.00	    1.18	    0.42	    0.44	   -0.33	   -0.76	    2.18	    2.16	    0.65	   -0.75	   -0.98	    0.84	   -1.16	    0.10	    0.62	   -0.32	   -0.64	    2.43	   -0.00	   -2.80	   -3.14	   -1.38	    0.00	   -0.23	   -2.40	   -0.64	    0.42	   -0.73	   -1.60	   -1.41	   -2.03	   -2.49	   -0.22	    0.24	    0.30	    0.20	    0.31	    0.20	    0.16	    0.27	    0.25	    0.10	    0.27	    0.25	    0.18	   -0.02	    0.33	    0.46	    0.21	    0.12	    0.21	    0.05	    0.18	    0.09	   -0.11	    0.27	    0.12	    0.22	    0.26	    0.29	    0.09	    0.26	    0.19	    0.24	    0.26	    1.74	    1.68	   -0.57	   -0.28	   -0.80	    1.85	   -0.16	   -1.98	   -1.68	    0.11	   -0.22	    2.09	    0.11	   -0.64	    0.43	    0.37	   -0.83	   -0.16	   -0.92	   -0.99	    1.57	    0.11	   -0.05	   -1.48	   -1.48	   -0.53	    0.21	    1.44	   -1.25	   -0.80	   -0.37	    0.11	   -0.04	    0.17	   -0.06	    0.16	   -0.09	   -0.11	    0.04	    0.01	   -0.03	   -0.02	    0.29	   -0.92	   -0.10	   -0.21	   -0.26	   -0.49	   -0.30	    0.19	   -0.03	    0.01	   -0.09	   -0.15	   -0.15	   -0.12	   -0.03	   -0.22	   -0.19	   -0.10	   -0.18	    0.00	   -0.19	    0.02	    0.25	   -0.38	    0.12	    0.04	    0.66	   -0.08	    0.25	    0.05	   -0.09	    1.26	    0.05	   -0.11	   -0.16	   -0.11	    0.66	   -0.01	    0.22	    0.55	   -0.27	    1.01	   -0.07	   -0.11	    0.09	   -0.12	    0.01	    0.68	   -0.43	   -0.21	    0.11	    0.25	    0.10	   -0.00	   -0.34	   -0.02	    0.22	   -0.02	   -0.23	    0.25	    0.00	    0.23	    0.19	   -0.15	   -0.43	    0.47	    0.21	    0.29	   -0.23	    0.06	   -0.29	   -0.03	    0.15	    0.00	   -0.54	   -0.33	    0.12	    0.05	   -0.24	   -0.30	   -0.15	   -0.14	    0.02	    0.05	   -0.08	   -0.24	   -1.41	   -4.02	   -3.14	   -1.26	    3.19	    0.51	  146.38	    9.13	    0.05	    0.08	    0.01	    0.08	    0.12	    0.13	   -0.00	   -0.08	   -0.01	    0.03	    0.03	   -0.11	    0.01	   -0.15	   -0.13	    0.20	   -0.06	    0.08	   -0.01	    0.01	    0.08	    0.19	   -0.06	   -0.15	    0.13	    0.34	   -0.02	   -0.12	   -0.10	    0.05	    0.30	    0.02	   -0.16	   -0.11	    0.00	    0.07	   -0.04	   -0.08	   -0.16	    0.07	    0.16	   -0.01	   -0.13	   -0.05	   -0.23	    0.22	    0.13	   -0.09	   -0.28	   -0.15	    0.05	    0.16	    0.00	    0.00	    0.00
     127	 11:08:05	   6.004	   0.000	   58.66	  994.37	   12.82	     284	       1	     170	     164	     233	      -5	   0.000	   0.000	   0.000	   1.211	   137.0	    15.0	  168959	    2.61	   -0.05	   26.22	   -0.16	    0.27	    0.03	   0.000	 0.00000	 0.00000	  -0.000	   0.000	   0.000	   0.000	  15.925	   0.000	  136.96	    0.00	    0.00	    0.00	    1.83	    0.11	    0.44	    0.00	   -0.11	    2.60	    2.38	    0.97	   -0.32	   -0.65	    1.16	   -0.95	    0.10	    0.21	   -0.74	   -0.54	    1.90	    0.21	   -3.00	   -2.81	   -0.85	    0.43	   -0.34	   -1.88	    0.21	    0.52	   -0.42	   -1.07	   -1.08	   -2.35	   -2.29	   -0.65	    0.36	    0.48	    0.31	    0.50	    0.33	    0.31	    0.44	    0.34	    0.23	    0.39	    0.36	    0.30	    0.04	    0.44	    0.58	    0.27	    0.30	    0.32	    0.22	    0.33	    0.26	    0.02	    0.42	    0.18	    0.31	    0.41	    0.47	    0.30	    0.35	    0.31	    0.33	    0.43	    1.85	    2.12	   -0.62	    0.44	   -0.54	    2.00	   -0.11	   -1.62	   -1.30	    0.16	    0.16	    2.57	    0.27	   -0.48	    1.01	    0.69	   -0.73	   -0.00	   -0.92	   -0.77	    1.52	    0.50	    0.74	   -1.21	   -1.11	   -0.11	    0.32	    1.66	   -0.94	   -0.64	   -0.16	    0.59	    0.04	    0.28	    0.03	    0.24	    0.02	   -0.07	    0.18	    0.07	    0.04	    0.03	    0.38	   -0.81	    0.01	   -0.06	   -0.15	   -0.34	   -0.20	    0.28	    0.05	    0.16	    0.02	   -0.02	   -0.00	   -0.01	    0.08	   -0.03	   -0.07	   -0.04	   -0.03	    0.09	   -0.03	    0.12	    0.40	   -0.29	    0.27	    0.11	    0.87	    0.11	    0.38	    0.18	   -0.02	    1.37	    0.13	    0.11	   -0.09	    0.02	    0.83	    0.11	    0.35	    0.75	   -0.12	    1.14	    0.06	    0.05	    0.26	    0.07	    0.06	    0.85	   -0.32	   -0.07	    0.24	    0.37	    0.27	    0.18	   -0.24	    0.14	    0.35	    0.13	   -0.05	    0.35	    0.19	    0.36	    0.27	   -0.01	   -0.29	    0.61	    0.35	    0.40	   -0.10	    0.22	   -0.13	    0.07	    0.26	    0.12	   -0.39	   -0.22	    0.20	    0.16	   -0.12	   -0.23	   -0.07	   -0.02	    0.19	    0.17	   -0.01	   -0.08	  -11.12	   -9.40	   -7.19	   -4.25	    1.81	   -1.29	  145.68	    7.64	    0.19	    0.24	    0.15	    0.23	    0.20	    0.24	    0.15	    0.06	    0.13	    0.16	    0.16	    0.02	    0.17	    0.02	   -0.00	    0.35	    0.09	    0.22	    0.13	    0.16	    0.22	    0.32	    0.08	   -0.03	    0.28	    0.49	    0.11	    0.04	    0.07	    0.16	    0.45	    0.15	   -0.01	    0.05	    0.15	    0.19	    0.09	    0.06	    0.01	    0.19	    0.30	    0.18	    0.01	    0.06	   -0.09	    0.33	    0.28	    0.03	   -0.10	   -0.02	    0.14	    0.29	    0.00	    0.00	    0.00
     128	 11:08:40	   2.000	   0.000	   58.61	  994.35	   12.80	     219	      12	      93	      76	     151	     -15	   0.000	   0.000	   0.000	   1.211	   136.8	    15.0	  168898	    2.02	    0.01	   14.07	   -0.27	   -0.16	    0.10	   0.000	 0.00000	 0.00000	  -0.000	   0.000	   0.000	   0.000	  15.666	   0.000	  136.84	    0.00	    0.00	    0.00	    0.86	   -0.21	    0.22	   -0.87	   -0.86	    1.97	    2.05	    0.32	   -0.53	   -1.30	    0.63	   -1.37	   -0.00	    0.10	   -0.95	   -0.11	    1.69	   -0.32	   -3.32	   -2.49	   -1.17	   -0.11	   -0.23	   -2.51	   -0.43	    0.31	   -0.83	   -1.60	   -0.65	   -2.67	   -2.08	   -0.43	    0.25	    0.29	    0.19	    0.31	    0.16	    0.10	    0.19	    0.23	    0.06	    0.21	    0.23	    0.14	   -0.08	    0.31	    0.41	    0.09	    0.11	    0.21	    0.03	    0.21	    0.12	   -0.13	    0.24	    0.06	    0.21	    0.24	    0.31	    0.10	    0.23	    0.15	    0.18	    0.26	    1.58	    2.33	   -0.31	   -0.90	   -1.34	    2.06	   -0.32	   -1.82	   -1.57	    0.05	   -0.17	    1.93	    0.11	   -0.70	    0.59	    0.64	   -0.78	   -0.27	   -1.25	   -1.04	    1.31	    0.33	    0.32	   -0.88	   -1.37	   -0.58	    0.27	    1.34	   -1.51	   -1.23	    0.10	   -0.32	   -0.05	    0.08	   -0.06	    0.09	   -0.10	   -0.16	    0.06	   -0.03	   -0.07	   -0.07	    0.26	   -0.96	   -0.14	   -0.18	   -0.24	   -0.48	   -0.34	    0.12	   -0.06	    0.01	   -0.10	   -0.19	   -0.09	   -0.13	   -0.07	   -0.17	   -0.23	   -0.11	   -0.16	   -0.00	   -0.15	    0.02	    0.17	   -0.48	    0.06	   -0.02	    0.68	   -0.08	    0.20	   -0.01	   -0.16	    1.22	   -0.09	   -0.10	   -0.23	   -0.16	    0.65	   -0.04	    0.15	    0.52	   -0.29	    0.97	   -0.14	   -0.12	    0.12	   -0.16	   -0.10	    0.73	   -0.52	   -0.27	    0.04	    0.25	    0.10	    0.03	   -0.43	   -0.03	    0.20	   -0.03	   -0.27	    0.19	   -0.03	    0.24	    0.19	   -0.14	   -0.48	    0.45	    0.19	    0.19	   -0.23	    0.02	   -0.32	   -0.12	    0.20	    0.00	   -0.54	   -0.41	    0.08	    0.03	   -0.24	   -0.43	   -0.23	   -0.16	    0.06	    0.04	   -0.13	   -0.25	  -10.70	  -10.17	   -8.45	   -5.93	   -0.43	   -3.30	  147.72	    9.27	    0.01	    0.03	   -0.04	    0.03	    0.07	    0.09	   -0.03	   -0.11	   -0.08	   -0.05	   -0.03	   -0.15	   -0.05	   -0.20	   -0.12	    0.14	   -0.12	    0.03	   -0.07	   -0.03	    0.06	    0.11	   -0.12	   -0.21	    0.09	    0.33	   -0.04	   -0.17	   -0.13	    0.02	    0.19	   -0.02	   -0.23	   -0.14	   -0.08	    0.02	   -0.11	   -0.15	   -0.23	    0.02	    0.12	   -0.03	   -0.14	   -0.14	   -0.32	    0.15	    0.12	   -0.16	   -0.33	   -0.22	   -0.01	    0.12	    0.00	    0.00	    0.00
