  Run_nr	    Time	   Alpha	    Beta	Delta_Pb	   P_bar	       T	      B1	      B2	      B3	      B4	      B5	      B6	     rpm	     Rho	       Q	       V	      Re	 nrotor1	 nrotor2	      I1	      I2	    dptq	  Extra1	  Extra2	  Extra3	  Extra4	  Extra5	  Extra6	  Extra7	  Extra8	  Extra9	 Extra10
       /	   H:M:S	 degrees	 degrees	      Pa	     hPa	 degr._C	   steps	   steps	   steps	   steps	   steps	   steps	   1/min	  kg/m^3	      Pa	     m/s	       /	     1/s	     1/s	       A	       A	      Pa	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /
       1	 11:07:36	  10.000	   0.000	   58.26	  994.21	   12.86	   426.4	    24.1	   204.3	   195.7	   392.4	   -12.2	 186.021	   1.211	   136.0	    15.0	  168327	   -0.00	   -0.00	    0.00	    0.00	    0.00	  16.158	  15.836	   0.038	   0.039	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       2	 11:08:05	   6.004	   0.000	   58.66	  994.37	   12.82	   283.8	     0.6	   170.3	   163.4	   232.8	    -4.7	 186.021	   1.211	   137.0	    15.0	  168960	   -0.00	   -0.00	    0.00	    0.00	    0.00	  15.923	  15.605	   0.038	   0.039	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       3	 11:08:40	   2.000	   0.000	   58.61	  994.35	   12.80	   219.5	    11.9	    93.0	    75.5	   151.5	   -14.7	 184.992	   1.211	   136.8	    15.0	  168897	   -0.00	   -0.00	    0.00	    0.00	    0.00	  15.668	  15.367	   0.038	   0.039	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       4	 11:09:18	  -2.000	   0.000	   58.46	  994.29	   12.77	   207.4	    10.9	   -14.4	   -34.0	   166.4	   -18.6	 184.017	   1.211	   136.5	    15.0	  168689	   -0.00	   -0.00	    0.00	    0.00	    0.00	  15.421	  15.132	   0.038	   0.039	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       5	 11:10:29	  -2.000	   0.000	  413.53	  994.28	   13.24	  1288.4	    16.2	  -165.5	  -218.8	  1119.7	   -99.2	 470.019	   1.209	   969.1	    40.0	  448584	   -0.00	   -0.00	    0.00	    0.00	    0.00	  14.899	  14.669	   0.038	   0.039	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       6	 11:11:05	   1.996	   0.000	  411.53	  994.28	   13.38	  1366.7	    85.8	   678.3	   561.6	   857.8	   -76.4	 469.948	   1.209	   964.4	    39.9	  447216	   -0.00	   -0.00	    0.00	    0.00	    0.00	  14.705	  14.492	   0.038	   0.039	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       7	 11:12:02	   6.000	   0.000	  413.25	  994.39	   13.42	  1815.8	    66.0	  1373.2	  1283.9	   895.1	   -79.4	 473.022	   1.209	   968.4	    40.0	  448090	   -0.00	   -0.00	    0.00	    0.00	    0.00	  14.478	  14.297	   0.038	   0.039	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
       8	 11:13:39	  10.000	   0.000	  413.67	  994.32	   13.52	  2875.6	    28.1	  1718.6	  1660.2	  1279.3	   -58.2	 476.025	   1.208	   969.4	    40.1	  448106	   -0.00	    0.01	    0.00	    0.00	    0.00	  14.269	  14.099	   0.038	   0.039	   0.000	   0.000	   0.000	   0.000	   0.000	   0.000
